ticket_id,assigned_priority,inferred_severity,mismatch_type,severity_delta,confidence,constraint_analysis
TKT-117001,High,High,Consistent,0,1.00,"The ticket was assigned priority 'High' but inferred signals suggest 'High'. Keyword analysis detected 'error, failed', indicating a High concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 2/3. The 0-level delta classifies this as a 'Consistent' case."
TKT-117002,Low,Medium,Hidden Crisis,+1,1.00,"The ticket was assigned priority 'Low' but inferred signals suggest 'Medium'. Keyword analysis detected 'none', indicating a Low concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 0/3. The 1-level delta classifies this as a 'Hidden Crisis' case."
TKT-117003,Low,High,Hidden Crisis,+2,1.00,"The ticket was assigned priority 'Low' but inferred signals suggest 'High'. Keyword analysis detected 'error', indicating a High concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 0/3. The 2-level delta classifies this as a 'Hidden Crisis' case."
TKT-117005,High,High,Consistent,0,1.00,"The ticket was assigned priority 'High' but inferred signals suggest 'High'. Keyword analysis detected 'none', indicating a Medium concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 2/3. The 0-level delta classifies this as a 'Consistent' case."
TKT-117007,Low,Medium,Hidden Crisis,+1,1.00,"The ticket was assigned priority 'Low' but inferred signals suggest 'Medium'. Keyword analysis detected 'none', indicating a Low concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 0/3. The 1-level delta classifies this as a 'Hidden Crisis' case."
TKT-117008,Medium,Medium,Consistent,0,1.00,"The ticket was assigned priority 'Medium' but inferred signals suggest 'Medium'. Keyword analysis detected 'none', indicating a Low concern. Semantic embedding clustering placed this ticket in severity band 2/3, and resolution time proxy scored 1/3. The 0-level delta classifies this as a 'Consistent' case."
TKT-117009,Medium,High,Hidden Crisis,+1,1.00,"The ticket was assigned priority 'Medium' but inferred signals suggest 'High'. Keyword analysis detected 'error', indicating a Medium concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 1/3. The 1-level delta classifies this as a 'Hidden Crisis' case."
TKT-117011,Medium,High,Hidden Crisis,+1,0.97,"The ticket was assigned priority 'Medium' but inferred signals suggest 'High'. Keyword analysis detected 'error', indicating a Medium concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 1/3. The 1-level delta classifies this as a 'Hidden Crisis' case."
TKT-117012,Medium,Medium,Consistent,0,1.00,"The ticket was assigned priority 'Medium' but inferred signals suggest 'Medium'. Keyword analysis detected 'none', indicating a Low concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 1/3. The 0-level delta classifies this as a 'Consistent' case."
TKT-117014,Medium,High,Hidden Crisis,+1,1.00,"The ticket was assigned priority 'Medium' but inferred signals suggest 'High'. Keyword analysis detected 'error', indicating a Medium concern. Semantic embedding clustering placed this ticket in severity band 3/3, and resolution time proxy scored 1/3. The 1-level delta classifies this as a 'Hidden Crisis' case."
