ticket_subject,ticket_description,ticket_priority,ticket_channel,ticket_type,resolution_hours,true_severity,combined_text,kw_score,emb_score,rt_score,fused_severity,fused_severity_label,true_sev_num
Minor cosmetic issue in dashboard,"Just noticed the dashboard looks a bit off. By the way, none of our 500 users can log in to process payroll today.",low,email,Technical,,critical,"Minor cosmetic issue in dashboard Just noticed the dashboard looks a bit off. By the way, none of our 500 users can log in to process payroll today.",0,3,1,1,medium,3
System is completely unusable — end of world,I might be exaggerating slightly. The tooltip on the help page has a typo.,critical,phone,Billing,,low,System is completely unusable — end of world I might be exaggerating slightly. The tooltip on the help page has a typo.,0,3,1,1,medium,0
Feedback on recent update,Wanted to share some thoughts. Customer data appears to be visible across different accounts since last Tuesday's deployment.,medium,email,Technical,,critical,Feedback on recent update Wanted to share some thoughts. Customer data appears to be visible across different accounts since last Tuesday's deployment.,0,3,1,1,medium,3
URGENT CRITICAL EMERGENCY HELP,"Hi, when you get a chance, could you update the color of the submit button to blue? Thanks!",critical,chat,Feature Request,,low,"URGENT CRITICAL EMERGENCY HELP Hi, when you get a chance, could you update the color of the submit button to blue? Thanks!",3,3,1,3,critical,0
API not responding,Our payment processing API has been returning 500 errors for 3 hours. Revenue operations for 200 merchants are impacted.,low,email,Technical,,critical,API not responding Our payment processing API has been returning 500 errors for 3 hours. Revenue operations for 200 merchants are impacted.,1,3,1,2,high,3
Production database issue,It seems the prod DB might need a restart at some convenient time. It's throwing warnings.,medium,email,Technical,,high,Production database issue It seems the prod DB might need a restart at some convenient time. It's throwing warnings.,0,3,1,1,medium,2
The sky is falling,My font size in reports seems slightly larger than before the update.,critical,phone,Other,,low,The sky is falling My font size in reports seems slightly larger than before the update.,0,3,1,1,medium,0
Gentle inquiry,"I hope this isn't an issue but all order confirmations sent since Monday have been going to wrong customer emails. We have 10,000 orders affected.",low,chat,Billing,,critical,"Gentle inquiry I hope this isn't an issue but all order confirmations sent since Monday have been going to wrong customer emails. We have 10,000 orders affected.",0,3,1,1,medium,3
Feature not working as expected,"The export button exports everything correctly, it just takes an extra half second. The button is in the wrong place too.",high,email,Technical,,low,"Feature not working as expected The export button exports everything correctly, it just takes an extra half second. The button is in the wrong place too.",2,3,1,2,high,0
Quick check on billing,Just wanted to verify — we've been double-charged for 6 months across all 300 enterprise accounts. Is that expected?,medium,email,Billing,,critical,Quick check on billing Just wanted to verify — we've been double-charged for 6 months across all 300 enterprise accounts. Is that expected?,0,3,1,1,medium,3
